id,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,1-Oct,2-Oct,3-Oct,4-Oct
V2,3,3,3,1,3,3,3,NA,3,3,3,3
V3,3,3,3,1,3,3,3,NA,3,3,3,3
V4,3,3,3,3,3,3,3,NA,3,3,3,3
5V,3,3,3,1,3,3,3,NA,3,3,3,3
V5,3,3,3,1,3,3,3,NA,3,3,3,3
V6,3,3,3,2,3,3,3,NA,3,3,3,3
V7,3,3,3,3,3,3,3,NA,3,3,3,3
8V,3,3,3,1,3,3,3,NA,3,3,3,3
V9,3,3,3,3,3,3,3,NA,3,3,3,3
V0,3,3,3,3,3,3,3,NA,3,3,3,3
X1,3,3,3,3,3,3,3,NA,3,3,3,3
2X,3,3,3,1,3,3,3,NA,3,3,3,3
3X,3,3,3,1,3,3,3,NA,3,3,3,3
4X,3,3,3,1,3,3,3,NA,3,3,3,3
X5,3,3,3,1,3,3,3,NA,3,3,3,3
X6,3,3,3,3,3,3,3,NA,3,3,3,3
X7,3,3,3,3,3,3,3,NA,3,3,3,3
X8,3,3,3,1,3,3,3,NA,3,3,3,3
X9,3,3,3,1,3,3,3,NA,3,3,3,3
9X,3,3,3,1,3,3,3,NA,3,3,3,3
X0,3,3,3,3,3,3,3,NA,3,3,3,3
Y1,3,3,3,1,3,3,3,NA,3,3,3,3
Y2,3,3,3,1,3,3,3,NA,3,3,3,3
Y3,3,3,3,1,3,3,3,NA,3,3,3,3
4Y,3,3,3,1,3,3,3,NA,3,3,3,3
Y5,3,3,3,1,3,3,3,NA,3,3,3,3
5Y,3,3,3,1,3,3,3,NA,3,3,3,3
Y6,3,3,3,1,3,3,3,NA,3,3,3,3
Y7,3,3,3,3,3,3,3,NA,3,3,3,3
Y8,3,3,3,3,3,3,3,NA,3,3,3,3
Y9,3,3,3,1,3,3,3,NA,3,3,3,3
9Y,3,3,3,1,3,3,3,NA,3,3,3,3
Z1,3,3,3,3,3,3,3,NA,3,3,3,3
Z2,3,3,3,3,3,3,3,NA,3,3,3,3
Z3,3,3,3,3,3,3,3,NA,3,3,3,3
4Z,3,3,3,2,3,3,3,NA,3,3,3,3
5Z,3,3,3,1,3,3,3,NA,3,3,3,3
Z6,3,3,3,3,3,3,3,NA,3,3,3,3
Z7,3,3,3,3,3,3,3,NA,3,3,3,3
Z8,3,3,3,3,3,3,3,NA,3,3,3,3
Z9,3,3,3,1,3,3,3,NA,3,3,3,3
Z0,3,3,3,3,3,3,3,NA,3,3,3,3
?1,3,3,3,3,1,3,3,NA,3,3,3,3
2?,3,3,3,3,2,3,3,NA,3,3,3,3
3?,3,3,3,3,1,3,3,NA,3,3,3,3
?4,3,3,3,3,2,3,3,NA,3,3,3,3
5?,3,3,3,3,1,3,3,NA,3,3,3,3
?6,3,3,3,3,3,3,3,NA,3,3,3,3
7?,3,3,3,3,2,3,3,NA,3,3,3,3
8?,3,3,3,3,3,3,2,NA,3,3,3,3
9?,3,3,3,3,2,3,3,NA,3,3,3,3
